#Ver.1.0 cpCO Family Exported Configuration file 
#Variable	Description	DataType	DefaultValue
ADR_DX	Адрес (порядковый номер модуля) ККБ	DINT	2
ADR_RECUP	Адрес (порядковый номер модуля) рекуператора	DINT	1
ADR_RECYCLE_COOL	Адрес (порядковый номер модуля) рециркуляции при охлаждении	DINT	5
ADR_RECYCLE_HEAT	Адрес (порядковый номер модуля) рециркуляции при нагреве	DINT	3
ADR_WCOIL	Адрес (порядковый номер модуля) водяного т/о 	DINT	1
ADR_WCOIL_COOL	Адрес (порядковый номер модуля) водяного т/о при охлаждении	DINT	4
ADR_WCOIL_HEAT	Адрес (порядковый номер модуля) водяного т/о при нагреве	DINT	2
AlarmMng_2.Irkutsk_CT_inversion	Флаг инверсии СТ на 10-ке в Иркутске	BOOL	FALSE
Alarms_Dt1213	Время для 5/12 для аварии по датчику LPS	UDINT	12
Alarms_Dt1214	Время для 5/12 для аварии по датчику HPS	UDINT	12
BMS2_Baudrate	BMS2 скорость передачи данных	UDINT	19200
BMS2_Parity	BMS2 четность	USINT	0
BMS2_StopBits	BMS2 стоп биты	USINT	1
BMS_Card_Baudrate	BMS_Card скорость передачи данных	UDINT	19200
BMS_Card_Parity	BMS_Card четность	USINT	0
BMS_Card_StopBits	BMS_Card стоп биты	USINT	1
Cascade_ST.AntiBump	-	BOOL	FALSE
Comp[1].LastStopDate	Структура компрессоров - Дата последней остановки компрессора в сек (UNIX)	UDINT	0
Comp[1].LifeTimeRetain	Структура компрессоров - Наработка компрессора (пост.память)	UDINT	0
Comp[1].N	Структура компрессоров - Количество включений компрессора	UINT	0
Comp[2].LastStopDate	Структура компрессоров - Дата последней остановки компрессора в сек (UNIX)	UDINT	0
Comp[2].LifeTimeRetain	Структура компрессоров - Наработка компрессора (пост.память)	UDINT	0
Comp[2].N	Структура компрессоров - Количество включений компрессора	UINT	0
Comp[3].LastStopDate	Структура компрессоров - Дата последней остановки компрессора в сек (UNIX)	UDINT	0
Comp[3].LifeTimeRetain	Структура компрессоров - Наработка компрессора (пост.память)	UDINT	0
Comp[3].N	Структура компрессоров - Количество включений компрессора	UINT	0
CurDLE	Текущая конфигурация бесканальника	USINT	1
DeFrostOnOff	Флаг включения режима ОТТАЙКИ	BOOL	FALSE
DeFrost[1].Enable	Расписание для режима оттайки (массив по дням недели, 1-понедельник) - 0-нет расписания, 1- есть	BOOL	FALSE
DeFrost[1].StartHour	Расписание для режима оттайки (массив по дням недели, 1-понедельник) - Запуск. Минуты	UINT	21
DeFrost[1].StartMinute	Расписание для режима оттайки (массив по дням недели, 1-понедельник) - Запуск. Часы	UINT	0
DeFrost[1].StopHour	Расписание для режима оттайки (массив по дням недели, 1-понедельник) - Останов. Минуты	UINT	7
DeFrost[1].StopMinute	Расписание для режима оттайки (массив по дням недели, 1-понедельник) - Останов. Часы	UINT	0
DeFrost[2].Enable	Расписание для режима оттайки (массив по дням недели, 1-понедельник) - 0-нет расписания, 1- есть	BOOL	FALSE
DeFrost[2].StartHour	Расписание для режима оттайки (массив по дням недели, 1-понедельник) - Запуск. Минуты	UINT	21
DeFrost[2].StartMinute	Расписание для режима оттайки (массив по дням недели, 1-понедельник) - Запуск. Часы	UINT	0
DeFrost[2].StopHour	Расписание для режима оттайки (массив по дням недели, 1-понедельник) - Останов. Минуты	UINT	7
DeFrost[2].StopMinute	Расписание для режима оттайки (массив по дням недели, 1-понедельник) - Останов. Часы	UINT	0
DeFrost[3].Enable	Расписание для режима оттайки (массив по дням недели, 1-понедельник) - 0-нет расписания, 1- есть	BOOL	FALSE
DeFrost[3].StartHour	Расписание для режима оттайки (массив по дням недели, 1-понедельник) - Запуск. Минуты	UINT	21
DeFrost[3].StartMinute	Расписание для режима оттайки (массив по дням недели, 1-понедельник) - Запуск. Часы	UINT	0
DeFrost[3].StopHour	Расписание для режима оттайки (массив по дням недели, 1-понедельник) - Останов. Минуты	UINT	7
DeFrost[3].StopMinute	Расписание для режима оттайки (массив по дням недели, 1-понедельник) - Останов. Часы	UINT	0
DeFrost[4].Enable	Расписание для режима оттайки (массив по дням недели, 1-понедельник) - 0-нет расписания, 1- есть	BOOL	FALSE
DeFrost[4].StartHour	Расписание для режима оттайки (массив по дням недели, 1-понедельник) - Запуск. Минуты	UINT	21
DeFrost[4].StartMinute	Расписание для режима оттайки (массив по дням недели, 1-понедельник) - Запуск. Часы	UINT	0
DeFrost[4].StopHour	Расписание для режима оттайки (массив по дням недели, 1-понедельник) - Останов. Минуты	UINT	7
DeFrost[4].StopMinute	Расписание для режима оттайки (массив по дням недели, 1-понедельник) - Останов. Часы	UINT	0
DeFrost[5].Enable	Расписание для режима оттайки (массив по дням недели, 1-понедельник) - 0-нет расписания, 1- есть	BOOL	FALSE
DeFrost[5].StartHour	Расписание для режима оттайки (массив по дням недели, 1-понедельник) - Запуск. Минуты	UINT	21
DeFrost[5].StartMinute	Расписание для режима оттайки (массив по дням недели, 1-понедельник) - Запуск. Часы	UINT	0
DeFrost[5].StopHour	Расписание для режима оттайки (массив по дням недели, 1-понедельник) - Останов. Минуты	UINT	7
DeFrost[5].StopMinute	Расписание для режима оттайки (массив по дням недели, 1-понедельник) - Останов. Часы	UINT	0
DeFrost[6].Enable	Расписание для режима оттайки (массив по дням недели, 1-понедельник) - 0-нет расписания, 1- есть	BOOL	FALSE
DeFrost[6].StartHour	Расписание для режима оттайки (массив по дням недели, 1-понедельник) - Запуск. Минуты	UINT	21
DeFrost[6].StartMinute	Расписание для режима оттайки (массив по дням недели, 1-понедельник) - Запуск. Часы	UINT	0
DeFrost[6].StopHour	Расписание для режима оттайки (массив по дням недели, 1-понедельник) - Останов. Минуты	UINT	7
DeFrost[6].StopMinute	Расписание для режима оттайки (массив по дням недели, 1-понедельник) - Останов. Часы	UINT	0
DeFrost[7].Enable	Расписание для режима оттайки (массив по дням недели, 1-понедельник) - 0-нет расписания, 1- есть	BOOL	FALSE
